Loading graph /home/subhajit/data/min-1DeadEnd.mtx ...
order: 5 size: 6 {}
order: 5 size: 6 {} (transposeWithDegree)
[00001.581 ms; 000 iters.] [0.0000e+00 err.] pagerankNvgraph
[00001.342 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=8; limit=1024]
[00001.075 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=16; limit=1]
[00001.076 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=16; limit=2]
[00001.146 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=16; limit=4]
[00001.066 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=16; limit=8]
[00001.336 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=16; limit=16]
[00001.326 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=16; limit=32]
[00001.319 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=16; limit=64]
[00001.346 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=16; limit=128]
[00001.330 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=16; limit=256]
[00001.340 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=16; limit=512]
[00001.326 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=16; limit=1024]
[00001.083 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=32; limit=1]
[00001.160 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=32; limit=2]
[00001.060 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=32; limit=4]
[00001.091 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=32; limit=8]
[00001.323 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=32; limit=16]
[00001.319 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=32; limit=32]
[00001.343 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=32; limit=64]
[00001.333 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=32; limit=128]
[00001.345 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=32; limit=256]
[00001.330 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=32; limit=512]
[00001.325 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=32; limit=1024]
[00001.133 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=64; limit=1]
[00001.070 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=64; limit=2]
[00001.072 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=64; limit=4]
[00001.079 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=64; limit=8]
[00001.322 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=64; limit=16]
[00001.340 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=64; limit=32]
[00001.325 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=64; limit=64]
[00001.330 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=64; limit=128]
[00001.331 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=64; limit=256]
[00001.325 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=64; limit=512]
[00001.337 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=64; limit=1024]
[00001.071 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=128; limit=1]
[00001.082 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=128; limit=2]
[00001.073 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=128; limit=4]
[00001.071 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=128; limit=8]
[00001.332 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=128; limit=16]
[00001.327 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=128; limit=32]
[00001.324 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=128; limit=64]
[00001.318 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=128; limit=128]
[00001.326 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=128; limit=256]
[00001.339 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=128; limit=512]
[00001.324 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=128; limit=1024]
[00001.096 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=256; limit=1]
[00001.058 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=256; limit=2]
[00001.073 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=256; limit=4]
[00001.133 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=256; limit=8]
[00001.331 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=256; limit=16]
[00001.326 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=256; limit=32]
[00001.338 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=256; limit=64]
[00001.331 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=256; limit=128]
[00001.346 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=256; limit=256]
[00001.323 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=256; limit=512]
[00001.327 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=256; limit=1024]
[00001.085 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=512; limit=1]
[00001.067 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=512; limit=2]
[00001.140 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=512; limit=4]
[00001.073 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=512; limit=8]
[00001.320 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=512; limit=16]
[00001.343 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=512; limit=32]
[00001.319 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=512; limit=64]
[00001.338 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=512; limit=128]
[00001.326 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=512; limit=256]
[00001.332 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=512; limit=512]
[00001.318 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=512; limit=1024]
[00001.460 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=1024; limit=1]
[00001.153 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=1024; limit=2]
[00001.069 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=1024; limit=4]
[00001.075 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=1024; limit=8]
[00001.325 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=1024; limit=16]
[00001.330 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=1024; limit=32]
[00001.338 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=1024; limit=64]
[00001.332 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=1024; limit=128]
[00001.331 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=1024; limit=256]
[00001.324 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=1024; limit=512]
[00001.325 ms; 040 iters.] [9.1270e-07 err.] pagerankCuda [degree=1024; limit=1024]

Loading graph /home/subhajit/data/min-4SCC.mtx ...
order: 21 size: 35 {}
order: 21 size: 35 {} (transposeWithDegree)
[00004.066 ms; 000 iters.] [0.0000e+00 err.] pagerankNvgraph
[00001.605 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=2; limit=1]
[00001.612 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=2; limit=2]
[00001.605 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=2; limit=4]
[00001.602 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=2; limit=8]
[00001.501 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=2; limit=16]
[00001.488 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=2; limit=32]
[00001.507 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=2; limit=64]
[00001.488 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=2; limit=128]
[00001.501 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=2; limit=256]
[00001.755 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=2; limit=512]
[00001.626 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=2; limit=1024]
